Datetime,Symbl,Price
2023-09-26 10:49:40.200250,^NSEI,19676.0
2023-09-26 10:49:41.510195,^NSEI,19675.25
2023-09-26 10:49:42.825739,^NSEI,19675.849609375
2023-09-26 10:49:44.199742,^NSEI,19674.900390625
2023-09-26 10:49:45.474755,^NSEI,19675.30078125
2023-09-26 10:49:46.693759,^NSEI,19675.150390625
2023-09-26 10:49:48.041295,^NSEI,19675.349609375
2023-09-26 10:49:49.299458,^NSEI,19675.599609375
2023-09-26 10:49:50.618960,^NSEI,19675.75
2023-09-26 10:49:51.888652,^NSEI,19675.599609375
2023-09-26 10:49:53.250693,^NSEI,19675.05078125
2023-09-26 10:49:54.557663,^NSEI,19674.650390625
2023-09-26 10:49:55.773023,^NSEI,19674.75
2023-09-26 10:49:57.017715,^NSEI,19674.900390625
2023-09-26 10:49:58.435920,^NSEI,19674.900390625
2023-09-26 10:49:59.748166,^NSEI,19675.05078125
2023-09-26 10:50:01.041818,^NSEI,19674.69921875
2023-09-26 10:50:02.331690,^NSEI,19674.900390625
2023-09-26 10:50:03.735222,^NSEI,19675.25
2023-09-26 10:50:05.045741,^NSEI,19674.94921875
2023-09-26 10:50:06.411033,^NSEI,19675.150390625
2023-09-26 10:50:07.721685,^NSEI,19675.599609375
2023-09-26 10:50:08.959665,^NSEI,19675.650390625
2023-09-26 10:50:10.394918,^NSEI,19675.849609375
2023-09-26 10:50:11.875756,^NSEI,19676.25
2023-09-26 10:50:13.140431,^NSEI,19676.400390625
2023-09-26 10:50:14.493700,^NSEI,19676.099609375
2023-09-26 10:50:15.757684,^NSEI,19676.30078125
2023-09-26 10:50:17.005061,^NSEI,19676.30078125
2023-09-26 10:50:18.497676,^NSEI,19676.80078125
2023-09-26 10:50:19.795291,^NSEI,19676.349609375
2023-09-26 10:50:21.227488,^NSEI,19676.650390625
2023-09-26 10:50:22.536134,^NSEI,19676.94921875
2023-09-26 10:50:23.837690,^NSEI,19676.55078125
2023-09-26 10:50:25.119359,^NSEI,19676.650390625
2023-09-26 10:50:26.352583,^NSEI,19676.650390625
2023-09-26 10:50:27.679856,^NSEI,19676.80078125
2023-09-26 10:50:28.934973,^NSEI,19676.5
2023-09-26 10:50:30.255715,^NSEI,19676.30078125
2023-09-26 10:50:31.662072,^NSEI,19676.900390625
2023-09-26 10:50:32.981701,^NSEI,19676.900390625
2023-09-26 10:50:34.256419,^NSEI,19676.5
2023-09-26 10:50:35.509755,^NSEI,19676.55078125
2023-09-26 10:50:36.925750,^NSEI,19676.44921875
2023-09-26 10:50:38.261490,^NSEI,19676.44921875
2023-09-26 10:50:39.517110,^NSEI,19677.19921875
2023-09-26 10:50:40.904278,^NSEI,19677.19921875
2023-09-26 10:50:42.086187,^NSEI,19677.94921875
2023-09-26 10:50:43.429715,^NSEI,19677.349609375
2023-09-26 10:50:44.794913,^NSEI,19677.650390625
2023-09-26 10:50:46.163994,^NSEI,19677.400390625
2023-09-26 10:50:47.459461,^NSEI,19677.19921875
2023-09-26 10:50:48.759220,^NSEI,19677.30078125
2023-09-26 10:50:49.991218,^NSEI,19677.849609375
2023-09-26 10:50:51.263141,^NSEI,19678.349609375
2023-09-26 10:50:52.564096,^NSEI,19678.25
2023-09-26 10:50:53.879461,^NSEI,19677.900390625
2023-09-26 10:50:55.161668,^NSEI,19678.75
2023-09-26 10:50:56.443568,^NSEI,19678.19921875
2023-09-26 10:50:57.882253,^NSEI,19678.150390625
2023-09-26 10:50:59.163357,^NSEI,19677.94921875
2023-09-26 10:51:00.487531,^NSEI,19677.94921875
2023-09-26 10:51:01.919644,^NSEI,19678.44921875
2023-09-26 10:51:03.185004,^NSEI,19678.44921875
2023-09-26 10:51:04.487474,^NSEI,19677.900390625
2023-09-26 10:51:05.889750,^NSEI,19678.099609375
2023-09-26 10:51:07.184863,^NSEI,19678.0
2023-09-26 10:51:08.489307,^NSEI,19678.400390625
2023-09-26 10:51:09.851087,^NSEI,19678.55078125
2023-09-26 10:51:11.257604,^NSEI,19678.5
2023-09-26 10:51:12.658352,^NSEI,19678.80078125
2023-09-26 10:51:14.045675,^NSEI,19679.349609375
2023-09-26 10:51:15.614746,^NSEI,19679.05078125
2023-09-26 10:51:17.095092,^NSEI,19678.400390625
2023-09-26 10:51:18.383629,^NSEI,19678.44921875
2023-09-26 10:51:19.697682,^NSEI,19679.400390625
2023-09-26 10:51:21.096340,^NSEI,19679.400390625
2023-09-26 10:51:22.311793,^NSEI,19679.650390625
2023-09-26 10:51:23.758159,^NSEI,19678.69921875
2023-09-26 10:51:25.045705,^NSEI,19678.69921875
2023-09-26 10:51:26.305666,^NSEI,19680.0
2023-09-26 10:51:27.604494,^NSEI,19679.44921875
2023-09-26 10:51:28.800320,^NSEI,19679.30078125
2023-09-26 10:51:30.109672,^NSEI,19679.30078125
2023-09-26 10:51:31.405046,^NSEI,19680.05078125
2023-09-26 10:51:32.686898,^NSEI,19679.599609375
2023-09-26 10:51:34.050918,^NSEI,19679.19921875
2023-09-26 10:51:35.284848,^NSEI,19678.94921875
2023-09-26 10:51:36.499516,^NSEI,19679.099609375
2023-09-26 10:51:37.796989,^NSEI,19678.900390625
2023-09-26 10:51:39.091849,^NSEI,19679.5
2023-09-26 10:51:40.265048,^NSEI,19679.349609375
2023-09-26 10:51:41.599613,^NSEI,19679.69921875
2023-09-26 10:51:42.929361,^NSEI,19679.0
2023-09-26 10:51:44.276722,^NSEI,19679.75
2023-09-26 10:51:45.583363,^NSEI,19680.05078125
2023-09-26 10:51:46.858174,^NSEI,19679.400390625
2023-09-26 10:51:48.140787,^NSEI,19678.849609375
2023-09-26 10:51:49.334829,^NSEI,19678.849609375
2023-09-26 10:51:50.624280,^NSEI,19679.19921875
2023-09-26 10:51:51.958158,^NSEI,19678.849609375
2023-09-26 10:51:53.371351,^NSEI,19678.849609375
2023-09-26 10:51:54.573680,^NSEI,19678.650390625
2023-09-26 10:51:55.923451,^NSEI,19679.0
2023-09-26 10:51:57.190432,^NSEI,19678.900390625
2023-09-26 10:51:58.573594,^NSEI,19678.900390625
2023-09-26 10:51:59.793673,^NSEI,19678.94921875
2023-09-26 10:52:01.013717,^NSEI,19679.44921875
